customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,cuenta_diaria,servicios_contratados
0002-ORFBO,No,Femenino,False,True,True,9,True,False,DSL,False,True,False,True,True,False,Un año,True,Cheque por correo,65.6,593.3,2.1866666666666665,5
0003-MKNFE,No,Masculino,False,False,False,9,True,True,DSL,False,False,False,False,False,True,Mes a mes,False,Cheque por correo,59.9,542.4,1.9966666666666666,4
0004-TLHLJ,Si,Masculino,False,False,False,4,True,False,Fibra óptica,False,False,True,False,False,False,Mes a mes,True,Cheque electrónico,73.9,280.85,2.4633333333333334,3
0011-IGKFF,Si,Masculino,True,True,False,13,True,False,Fibra óptica,False,True,True,False,True,True,Mes a mes,True,Cheque electrónico,98.0,1237.85,3.2666666666666666,6
0013-EXCHZ,Si,Femenino,True,True,False,3,True,False,Fibra óptica,False,False,False,True,True,False,Mes a mes,True,Cheque por correo,83.9,267.4,2.796666666666667,4
0013-MHZWF,No,Femenino,False,False,True,9,True,False,DSL,False,False,False,True,True,True,Mes a mes,True,Tarjeta de crédito (automático),69.4,571.45,2.3133333333333335,5
0013-SMEOE,No,Femenino,True,True,False,71,True,False,Fibra óptica,True,True,True,True,True,True,Dos años,True,Transferencia bancaria (automático),109.7,7904.25,3.6566666666666667,8
0014-BMAQU,No,Masculino,False,True,False,63,True,True,Fibra óptica,True,False,False,True,False,False,Dos años,True,Tarjeta de crédito (automático),84.65,5377.8,2.8216666666666668,5
0015-UOCOJ,No,Femenino,True,False,False,7,True,False,DSL,True,False,False,False,False,False,Mes a mes,True,Cheque electrónico,48.2,340.35,1.6066666666666667,3
0016-QLJIS,No,Femenino,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Dos años,True,Cheque por correo,90.45,5957.9,3.015,9
0017-DINOC,No,Masculino,False,False,False,54,False,False,DSL,True,False,False,True,True,False,Dos años,False,Tarjeta de crédito (automático),45.2,2460.55,1.5066666666666668,4
0017-IUDMW,No,Femenino,False,True,True,72,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Tarjeta de crédito (automático),116.8,8456.75,3.893333333333333,9
0018-NYROU,No,Femenino,False,True,False,5,True,False,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,68.95,351.5,2.2983333333333333,2
0019-EFAEP,No,Femenino,False,False,False,72,True,True,Fibra óptica,True,True,True,False,True,False,Dos años,True,Transferencia bancaria (automático),101.3,7261.25,3.3766666666666665,7
0019-GFNTW,No,Femenino,False,False,False,56,False,False,DSL,True,True,True,True,False,False,Dos años,False,Transferencia bancaria (automático),45.05,2560.1,1.5016666666666665,5
0020-INWCK,No,Femenino,False,True,True,71,True,True,Fibra óptica,False,True,True,False,False,True,Dos años,True,Tarjeta de crédito (automático),95.75,6849.4,3.191666666666667,6
0020-JDNXP,No,Femenino,False,True,True,34,False,False,DSL,True,False,True,True,True,True,Un año,False,Cheque por correo,61.25,1993.2,2.0416666666666665,6
0021-IKXGC,No,Femenino,True,False,False,1,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,72.1,72.1,2.4033333333333333,3
0022-TCJCI,Si,Masculino,True,False,False,45,True,False,DSL,True,False,True,False,False,True,Un año,False,Tarjeta de crédito (automático),62.7,2791.5,2.0900000000000003,5
0023-HGHWL,Si,Masculino,True,False,False,1,False,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,25.1,25.1,0.8366666666666667,1
0023-UYUPN,No,Femenino,True,True,False,50,True,True,No,False,False,False,False,False,False,Un año,False,Cheque electrónico,25.2,1306.3,0.84,2
0023-XUOPT,Si,Femenino,False,True,False,13,True,True,Fibra óptica,False,True,True,False,True,False,Mes a mes,False,Cheque electrónico,94.1,1215.6,3.1366666666666663,6
0027-KWYKW,No,Femenino,False,True,True,23,True,True,Fibra óptica,False,False,False,False,True,False,Mes a mes,True,Cheque electrónico,83.75,1849.95,2.7916666666666665,4
0030-FNXPP,No,Femenino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.85,57.2,0.6616666666666667,1
0031-PVLZI,Si,Femenino,False,True,True,4,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,20.35,76.35,0.6783333333333333,1
